first_name,last_name,full_name,phone_number,email_address,SN,region,unique_id,date_hired,address,gender,age,branch,branch_status,branch_head,dept,dept_status,dept_head,associate_training,senior_training,managerial_training,att_ytd,_06_Jan_23,comment06012023,input_location_06_Jan_23,_13_Jan_23,comment13012023,input_location_13_Jan_23,_20_Jan_23,comment20012023,input_location_20_Jan_23,_27_Jan_23,comment27012023,input_location_27_Jan_23,_03_Feb_23,comment03022023,input_location_03_Feb_23,_10_Feb_23,comment10022023,input_location_10_Feb_23,_17_Feb_23,comment17022023,input_location_17_Feb_23,_24_Feb_23,comment24022023,input_location_24_Feb_23,_03_Mar_23,comment03032023,input_location_03_Mar_23,_10_Mar_23,comment10032023,input_location_10_Mar_23,_17_Mar_23,comment17032023,input_location_17_Mar_23,_24_Mar_23,comment24032023,input_location_24_Mar_23,_31_Mar_23,comment31032023,input_location_31_Mar_23,_07_Apr_23,comment07042023,input_location_07_Apr_23,_14_Apr_23,comment14042023,input_location_14_Apr_23,_21_Apr_23,comment21042023,input_location_21_Apr_23,_28_Apr_23,comment28042023,input_location_28_Apr_23,_05_May_23,comment05052023,input_location_05_May_23,_12_May_23,comment12052023,input_location_12_May_23,_19_May_23,comment19052023,input_location_19_May_23,_26_May_23,comment26052023,input_location_26_May_23,_02_Jun_23,comment02062023,input_location_02_Jun_23,_09_Jun_23,comment09062023,input_location_09_Jun_23,_16_Jun_23,comment16062023,input_location_16_Jun_23,_23_Jun_23,comment23062023,input_location_23_Jun_23,_30_Jun_23,comment30062023,input_location_30_Jun_23,_07_Jul_23,comment07072023,input_location_07_Jul_23,_14_Jul_23,comment14072023,input_location_14_Jul_23,_21_Jul_23,comment21072023,input_location_21_Jul_23,_28_Jul_23,comment28072023,input_location_28_Jul_23,_04_Aug_23,comment04082023,input_location_04_Aug_23,_11_Aug_23,comment11082023,input_location_11_Aug_23,_18_Aug_23,comment18082023,input_location_18_Aug_23,_25_Aug_23,comment25082023,input_location_25_Aug_23,_01_Sep_23,comment01092023,input_location_01_Sep_23,_08_Sep_23,comment08092023,input_location_08_Sep_23,_15_Sep_23,comment15092023,input_location_15_Sep_23,_22_Sep_23,comment22092023,input_location_22_Sep_23,_29_Sep_23,comment29092023,input_location_29_Sep_23,_06_Oct_23,comment06102023,input_location_06_Oct_23,_13_Oct_23,comment13102023,input_location_13_Oct_23,_20_Oct_23,comment20102023,input_location_20_Oct_23,_27_Oct_23,comment27102023,input_location_27_Oct_23,_03_Nov_23,comment03112023,input_location_03_Nov_23,_10_Nov_23,comment10112023,input_location_10_Nov_23,_17_Nov_23,comment17112023,input_location_17_Nov_23,_24_Nov_23,comment24112023,input_location_24_Nov_23,_01_Dec_23,comment01122023,input_location_01_Dec_23,_08_Dec_23,comment08122023,input_location_08_Dec_23,_15_Dec_23,comment15122023,input_location_15_Dec_23,_22_Dec_23,comment22122023,input_location_22_Dec_23,_29_Dec_23,comment29122023,input_location_29_Dec_23
Abigail,Johnson,Abigail Johnson,1800810942,abigailjohnson@buymart.org,1,USA,BM-1-US,2022-11-27 00:00:00+00:00,25309 David Pine,F,44,Georgia,Branch Worker,Brian Arnold,UserExperience,Dept Manager,Abigail Johnson,done,done,,73.68,Completed,,Georgia USA,Completed,,HR USA,Completed,,HR USA,Completed,,UserExperience USA,Incomplete,,HR USA,Incomplete,,HR USA,Incomplete,,UserExperience USA,Completed,,HR USA,Completed,,HR USA,Completed,,HR USA,Completed,,HR USA,Incomplete,,HR USA,Completed,,UserExperience USA,Completed,,HR USA,Completed,,UserExperience USA,Completed,,Georgia USA,Completed,,UserExperience USA,Completed,,HR USA,Incomplete,,UserExperience USA,Incomplete,,HR USA,Completed,,HR USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albert,Gates,Albert Gates,1800378401,albertgates@buymart.org,2,USA,BM-2-US,2022-11-27 00:00:00+00:00,16262 Jimenez Highway,M,24,Mississippi,Branch Manager,Albert Gates,Product,Staff,Andrew Johns,done,done,done,42.11,Incomplete,,Mississippi USA,Completed,,Product USA,Incomplete,,Product USA,Completed,,Product USA,Incomplete,,Mississippi USA,Completed,,Product USA,Incomplete,,Product USA,Incomplete,,Mississippi USA,Incomplete,,HR USA,Completed,,Mississippi USA,Incomplete,,HR USA,Completed,,Mississippi USA,Incomplete,,Mississippi USA,Completed,,HR USA,Incomplete,,Mississippi USA,Incomplete,,Mississippi USA,Completed,,Mississippi USA,Completed,,Product USA,Incomplete,,Product USA,Completed,,Mississippi USA,Completed,,HR USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexander,Coleman,Alexander Coleman,1800242447,alexandercoleman@buymart.org,3,USA,BM-3-US,2022-11-27 00:00:00+00:00,821 Powell Glen Apt. 971,M,38,Texas,Branch Manager,Alexander Coleman,Merchandising,Staff,Brent Lozano,done,done,done,42.11,Completed,,Merchandising USA,Incomplete,,HR USA,Completed,,Merchandising USA,Incomplete,,HR USA,Incomplete,,Merchandising USA,Completed,,HR USA,Completed,,Merchandising USA,Incomplete,,Texas USA,Incomplete,,HR USA,Incomplete,,Merchandising USA,Completed,,HR USA,Completed,,HR USA,Incomplete,,Merchandising USA,Incomplete,,Merchandising USA,Incomplete,,Texas USA,Completed,,HR USA,Incomplete,,Texas USA,Incomplete,,HR USA,Completed,,Merchandising USA,Completed,,HR USA,Incomplete,,Merchandising USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexander,Page,Alexander Page,1800759378,alexanderpage@buymart.org,4,USA,BM-4-US,2022-11-27 00:00:00+00:00,739 Stefanie Bridge,M,33,Iowa,Branch Worker,Amanda Smith,Technology,Dept Manager,Alexander Page,done,done,,63.16,Completed,,HR USA,Incomplete,,Iowa USA,Completed,,Technology USA,Incomplete,,Technology USA,Completed,,Technology USA,Completed,,HR USA,Completed,,Technology USA,Completed,,HR USA,Incomplete,,Iowa USA,Incomplete,,Iowa USA,Completed,,Iowa USA,Incomplete,,HR USA,Completed,,Technology USA,Completed,,Technology USA,Incomplete,,HR USA,Completed,,Technology USA,Completed,,Iowa USA,Incomplete,,Iowa USA,Completed,,Technology USA,Incomplete,,HR USA,Completed,,Technology USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexis,Allison,Alexis Allison,1800543431,alexisallison@buymart.org,5,USA,BM-5-US,2022-11-27 00:00:00+00:00,026 Diamond Mission,F,30,Washington,Branch Worker,Anthony Jacobs,UserExperience,Staff,Abigail Johnson,done,,,42.11,Incomplete,,Washington USA,Completed,,Washington USA,Incomplete,,Washington USA,Completed,,HR USA,Completed,,HR USA,Completed,,UserExperience USA,Incomplete,,UserExperience USA,Incomplete,,UserExperience USA,Completed,,HR USA,Incomplete,,HR USA,Completed,,HR USA,Incomplete,,Washington USA,Incomplete,,Washington USA,Incomplete,,HR USA,Incomplete,,UserExperience USA,Completed,,HR USA,Incomplete,,HR USA,Completed,,Washington USA,Incomplete,,UserExperience USA,Incomplete,,Washington USA,Incomplete,,HR USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alicia,Jenkins,Alicia Jenkins,1800118913,aliciajenkins@buymart.org,6,USA,BM-6-US,2022-11-27 00:00:00+00:00,942 Jodi Burg,F,32,California,Branch Manager,Alicia Jenkins,Product,Staff,Andrew Johns,done,done,done,52.63,Completed,,HR USA,Completed,,Product USA,Incomplete,,California USA,Incomplete,,HR USA,Incomplete,,California USA,Completed,,Product USA,Incomplete,,HR USA,Incomplete,,HR USA,Completed,,Product USA,Incomplete,,California USA,Completed,,Product USA,Incomplete,,California USA,Incomplete,,HR USA,Completed,,California USA,Completed,,California USA,Completed,,HR USA,Completed,,HR USA,Completed,,Product USA,Incomplete,,HR USA,Incomplete,,California USA,Completed,,California USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amy,Leblanc,Amy Leblanc,1800826105,amyleblanc@buymart.org,7,USA,BM-7-US,2022-11-27 00:00:00+00:00,6882 Angela Orchard,F,45,NewYork,Branch Worker,Amanda Rodgers,DataAnalyst,Staff,Allison Arnold,,,,63.16,Completed,,HR USA,Completed,,DataAnalyst USA,Incomplete,,HR USA,Incomplete,,DataAnalyst USA,Completed,,NewYork USA,Completed,,NewYork USA,Incomplete,,HR USA,Completed,,DataAnalyst USA,Completed,,NewYork USA,Completed,,HR USA,Incomplete,,NewYork USA,Completed,,HR USA,Incomplete,,HR USA,Completed,,HR USA,Completed,,DataAnalyst USA,Completed,,DataAnalyst USA,Incomplete,,NewYork USA,Completed,,DataAnalyst USA,Incomplete,,HR USA,Completed,,HR USA,Completed,,HR USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angela,Bauer,Angela Bauer,1800325151,angelabauer@buymart.org,8,USA,BM-8-US,2022-11-27 00:00:00+00:00,335 Jeffrey Loaf,F,39,Texas,Branch Worker,Alexander Coleman,Marketing,Staff,Anthony Soto,done,,,42.11,Incomplete,,Texas USA,Completed,,HR USA,Completed,,HR USA,Incomplete,,Texas USA,Incomplete,,HR USA,Incomplete,,Marketing USA,Completed,,HR USA,Incomplete,,Marketing USA,Incomplete,,Marketing USA,Incomplete,,Marketing USA,Incomplete,,Texas USA,Incomplete,,HR USA,Completed,,HR USA,Completed,,HR USA,Incomplete,,Texas USA,Incomplete,,HR USA,Completed,,Texas USA,Completed,,HR USA,Completed,,HR USA,Incomplete,,HR USA,Completed,,HR USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anthony,Soto,Anthony Soto,1800111536,anthonysoto@buymart.org,9,USA,BM-9-US,2022-11-27 00:00:00+00:00,9807 Joseph Station Suite 284,M,55,Illinois,Branch Worker,Candace Gonzalez,Marketing,Dept Manager,Anthony Soto,,done,,36.84,Incomplete,,Illinois USA,Incomplete,,Marketing USA,Incomplete,,Illinois USA,Completed,,Marketing USA,Incomplete,,Illinois USA,Incomplete,,Marketing USA,Incomplete,,Marketing USA,Completed,,Marketing USA,Completed,,HR USA,Incomplete,,Illinois USA,Completed,,HR USA,Completed,,Illinois USA,Incomplete,,HR USA,Incomplete,,Marketing USA,Incomplete,,HR USA,Completed,,Illinois USA,Completed,,HR USA,Incomplete,,Marketing USA,Incomplete,,Marketing USA,Completed,,Illinois USA,Incomplete,,Marketing USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,Mullins,April Mullins,1800634424,aprilmullins@buymart.org,10,USA,BM-10-US,2022-11-27 00:00:00+00:00,884 Megan Path,F,43,Connecticut,Branch Worker,Jessica Meyer,UserExperience,Staff,Abigail Johnson,done,,,26.32,Incomplete,,Connecticut USA,Incomplete,,Connecticut USA,Completed,,HR USA,Incomplete,,HR USA,Completed,,HR USA,Completed,,UserExperience USA,Incomplete,,HR USA,Incomplete,,Connecticut USA,Incomplete,,HR USA,Incomplete,,Connecticut USA,Completed,,UserExperience USA,Completed,,Connecticut USA,Incomplete,,UserExperience USA,Incomplete,,UserExperience USA,Incomplete,,UserExperience USA,Incomplete,,UserExperience USA,Incomplete,,UserExperience USA,Incomplete,,Connecticut USA,Incomplete,,HR USA,Completed,,Connecticut USA,Incomplete,,UserExperience USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
